02/01/2013,President Obama signs the 2013 National Defense Authorization Act (H.R. 4310)[1][2] and the American Taxpayer Relief Act of 2012 (H.R. 8) into law.[3]
02/01/2013,"President Obama praises lawmakers after the House of Representatives votes to pass a Senate ""fiscal cliff"" measure, which included permanence for middle-class Bush tax cuts.[4]"
03/01/2013,The 113th United States Congress convenes with the Republican Party is retaining their majority in the House of Representatives while the Democratic Party is retaining their majority in the Senate.[citation needed]
03/01/2013,John Boehner is re-elected as Speaker of the United States House of Representatives.[citation needed]
04/01/2013,"In a joint session of the United States Congress, the results for the electoral college are counted. In his role as President of the Senate, Vice President Joe Biden reads the results and declares President Obama as the winner of the 2012 presidential election.[citation needed]"
11/01/2013,"President Obama holds a joint press conference in Washington, D.C., with Afghan President Hamid Karzai to discuss the eventual withdrawal of U.S. forces from Afghanistan.[5]"
14/01/2013,The President holds the last press conference of his first term.[6]
16/01/2013,President Obama outlines his gun-control proposals.[7]
19/01/2013,"The President and First Lady take part in the national day of service by volunteering at Burrville Elementary School in Northeast, Washington, D.C.[8]"
20/01/2013,Barack Obama is sworn into his second term as President of the United States by Supreme Court Chief Justice John Roberts at the White House.[9]
21/01/2013,"The President, Vice President, and other senior government officials participate in ceremonies related to the second inauguration of Barack Obama.[10]"
28/01/2013,The President and the Vice President meet with representatives from the Major Cities Chiefs Association and Major County Sheriffs Association to discuss reducing gun violence.[11]
29/01/2013,"Speaking at Del Sol High School in Las Vegas, President Obama addresses the issue of comprehensive immigration reform.[12]"
04/02/2013,"No Budget, No Pay Act of 2013 (H.R. 325) is signed into law by President Obama.[13]"
04/02/2013,The President holds a roundtable discussion and delivers an address in Minneapolis outlining his gun control campaign.[14]
06/02/2013,"President Obama attends the Senate Democratic Issues Conference retreat in Annapolis, Maryland.[15]"
07/02/2013,"The President and First Lady attend the annual National Prayer Breakfast at the Washington Hilton in Washington, D.C.[16]"
12/02/2013,President Obama delivers his annual State of the Union Address before a joint session of Congress.[17]
12/02/2013,"During the State of the Union Address, the President announces a drawdown of 34,000 troops from Afghanistan.[18]"
15/02/2013,"Completing a three-city tour, the President addresses students at Chicago's Hyde Park Academy.[19]"
22/02/2013,President Obama holds a bilateral meeting with Prime Minister Shinzō Abe of Japan.[20]
25/02/2013,President Obama speaks to the National Governors Association.[21]
01/03/2013,President Obama meets with Congressional Leadership on the sequester.[22]
01/03/2013,The President signs an order initiating the 2013 Sequestration[23]
07/03/2013,The President signs Violence Against Women Reauthorization Act of 2013.[24][25]
20/03/2013,"President Obama arrives in Israel, meets with Israeli President Shimon Peres and Prime Minister Benjamin Netanyahu and holds a press conference.[26]"
21/03/2013,"President Obama visits Ramallah in the West Bank, holds a joint news conference with Palestinian Authority President Mahmoud Abbas [27] and, later in the day, speaks at the Jerusalem International Convention Center.[28]"
22/03/2013,"President Obama arrives in Amman, Jordan for extended bilateral meetings with King Abdullah II of Jordan.[29]"
26/03/2013,Stanley Cup victors the LA Kings and MLS Cup victors the LA Galaxy visit the White House and meet with the President.[30]
02/04/2013,President Obama holds bilateral meeting with Prime Minister Lee Hsien Loong of Singapore.[31]
03/04/2013,The President speaks at the Denver Police Academy promoting common-sense measures to control gun violence.[32]
11/04/2013,President Obama presents his proposed 2014 budget to Congress.[33]
11/04/2013,The President meets with United Nations' Secretary General Ban Ki-moon.[34]
15/04/2013,The President greets NCAA football champions the Alabama Crimson Tide.[35]
16/04/2013,President Obama and Crown Prince Mohammad Bin Zayed of the United Arab Emirates have a working lunch at the White House.[36]
18/04/2013,President Obama speaks at a prayer service for victims of the Boston Marathon bombing.[37]
23/04/2013,"The President holds a bilateral meeting with Emir Hamad bin Khalifa Al Thani of Qatar.[38] Later in the day, The President and First Lady attend the opening of the George W Bush Presidential Library, along with former presidents: George W Bush, Bill Clinton, George H.W. Bush, and Jimmy Carter- along with the former First Ladies"
26/04/2013,The President meets for the second time in a month with Jordan's King Abdullah II.[39]
02/05/2013,"President Obama visits Mexico and meets with President Enrique Peña Nieto to discuss immigration, energy and security.[40]"
03/05/2013,President Obama spends time in Costa Rica with President Laura Chinchilla.[41]
07/05/2013,President Obama holds a bilateral meeting and a press conference with President Park Geun-hye of South Korea.[42]
08/05/2013,President Obama meets with a group of Asian-American and Pacific Islander national leaders.[43]
13/05/2013,President Obama holds a bilateral meeting and a press conference with Prime Minister David Cameron of the United Kingdom.[44]
15/05/2013,Senator John McCain has a private strategy meeting with the President.[45]
16/05/2013,President Obama holds a bilateral meeting and working dinner with Prime Minister Recep Tayyip Erdoğan of Turkey.[46]
20/05/2013,President Obama holds a bilateral meeting with President Thein Sein of Burma.[47]
23/05/2013,President Obama delivers a speech at the National Defense University on the subject of his administrations counter-terrorism policy.[48]
24/05/2013,The President delivers the commencement address at the United States Naval Academy.[49]
31/05/2013,NATO Secretary General Anders Fogh Rasmussen meets with the President in the Oval Office.[50]
04/06/2013,President Obama holds a bilateral meeting with President Sebastián Piñera of Chile.[51]
05/06/2013,The President welcomes the Super Bowl champion Baltimore Ravens.[52]
07/06/2013,"The President delivers a statement on the Affordable Care Act in San Jose, CA.[53]"
10/06/2013,The President delivers remarks on the Equal Pay Act.[54]
11/06/2013,The President delivers remarks on Immigration Reform.[55]
11/06/2013,President Obama holds a bilateral meeting with President Ollanta Humala of Peru.[56]
13/06/2013,President Obama speaks at the LGBT Pride Month celebration in the East Room.[57]
15/06/2013,"President Obama announces the Climate Action Plan to cut carbon pollution, prepare the Nation for the impacts of climate change, and lead international efforts to address climate change as a global challenge.[58]"
17/06/2013,"The President meets with EU leaders during the G-8 Summit in Lough Erne, Northern Ireland to discuss the Transatlantic Trade and Investment Partnership.[59]"
26/06/2013,The President outlines his second-term environmental strategy in a speech on climate change.[60] The President and First Lady arrive in Senegal where they begin a multi-country trip through Africa including South Africa and Tanzania.[61][62]
02/07/2013,The President and First Lady conclude their African trip in Tanzania. President Obama has bilateral meeting with President Kikwete.[63]
09/07/2013,The President meets with members of the Congressional Black Caucus.[64]
10/07/2013,The President meets with members of the Congressional Hispanic Caucus.[65]
11/07/2013,President Obama meets with Senator John McCain and Senator Charles Schumer to discuss commonsense immigration reform.[66]
11/07/2013,Chinese Vice-Premier Wang Yang and state councilor Yang Jiechi meet with President Obama to discuss the US-China Strategic and Economic Dialogue.[67]
17/07/2013,President Obama makes a statement on confirmation of Richard Cordray as director of the Consumer Financial Protection Bureau.[68]
19/07/2013,"Following the not guilty verdict in the George Zimmerman trial, President Obama gives a speech in the White House Press Room, in which he addresses the killing of Trayvon Martin, racial profiling, and the state of race relations in the United States.[69]"
22/07/2013,President Obama honors the 2013 NCAA Men's Basketball champion Louisville Cardinals.[70]
25/07/2013,President Obama holds a bilateral President Truong Tan Sang of Vietnam.[71]
29/07/2013,President Obama honors the World Series champion San Francisco Giants.[72]
31/07/2013,President Obama honors the NCAA UConn Huskies Women's basketball champion.[73]
01/08/2013,"The President meets with bipartisan members of Congress to discuss the National Security Agency.[74] and, later in the day, holds a bipartisan meeting with President Abd Rabbuh Mansur Hadi of Yemen.[75]"
07/08/2013,President Obama is interviewed by Jay Leno on The Tonight Show.[76]
08/08/2013,President Obama holds a bilateral meeting with Prime Minister Antonis Samaras of Greece.[77]
09/08/2013,"The Bipartisan Student Loan Certainty Act of 2013 (H.R. 1911) [78][79] and the Reverse Mortgage Stabilization Act of 2013, amending the National Housing Act to safeguard homeowners, are signed into law by the President.[80]"
15/08/2013,The President remarks on the situation in Egypt.[81]
19/08/2013,The Dodd–Frank Wall Street Reform and Consumer Protection Act (H.R. 4173) is discussed by the President and a group of independent financial regulators.[82]
26/08/2013,President Obama awards the Medal of Honor to Staff Sergeant Ty M. Carter of the U.S. Army.[83]
27/08/2013,The President meets with mayors of 18 major US cities to discuss reducing youth violence.[84]
28/08/2013,"President Obama delivers remarks at the Lincoln Memorial ""Let Freedom Ring"" ceremony commemorating the 50th Anniversary of the March on Washington.[85]"
30/08/2013,"President Obama meets with President Toomas Hendrik Ilves of Estonia, President Dalia Grybauskaitė of Lithuania and Andris Bērziņš of Latvia.[86]"
31/08/2013,President Obama speaks on the recent chemical attacks in Syria and asks Congress to authorize military action.[87]
04/09/2013,The President has a bilateral meeting and holds a press conference in Stockholm with Prime Minister Reinfeldt of Sweden.[88] President Obama also meets with King Carl XVI Gustaf of Sweden to discuss the Syrian air strike plan.[89]
05/09/2013,"President Obama arrives in St. Petersburg, Russia for the G-20 summit. The President conducts a bilateral meeting with Prime Minister Shinzō Abe of Japan to discuss the Syria air strike plan.[90]"
06/09/2013,"The President holds a bilateral meeting with Chinese President Xi Jinping to discuss the Syrian air strike plan.[91] and, later in the day, holds a bilateral meeting with French President François Hollande to also discuss the Syrian air strike plan.[92]"
10/09/2013,President Obama addresses the nation about Syrian use of chemical weapons.[93]
11/09/2013,The President attends September 11 Observance Ceremony at the Pentagon Memorial.[94]
13/09/2013,President Obama holds a bilateral meeting with Emir Sabah Al-Ahmad Al-Jaber Al-Sabah of Kuwait.[95]
18/09/2013,President Obama delivers remarks to members of the Business Roundtable.[96]
